y	x1	x2
91.8830820035186	18.7220906524453	6
94.375444022362	19.0561311994679	3
74.6302596388411	9.29209302179515	3
93.6634845712455	17.4567143910099	4
76.8498072260144	14.6261827833951	9
76.0519830655279	12.786439236952	9
82.8885688967656	16.048824719619	6
69.8568078772042	7.01999895856716	6
83.9029214470535	14.8548843560275	5
89.7184157723599	15.5759717605542	0
78.8008494264816	11.8661266437266	5
83.0964054370603	15.7866837747861	7
87.283683452811	19.0200837072916	6
72.8326771290513	8.83143236511387	5
73.994750521118	11.934392338153	5
88.5296240564884	19.1002178413328	5
92.9160809836203	19.6733964257874	0
80.7916869440491	6.76231042481959	4
75.1762109479898	12.1249562234152	5
79.3899196271993	13.4049911936745	7
85.2298841761041	18.5604708094615	4
68.7340743560894	7.08065251586959	4
91.1453374277737	19.8333759338129	5
86.8357176634909	19.2000234883744	5
69.0095494393018	6.23656337149441	6
79.988337427973	12.7131767652463	4
71.846549627444	10.8530520065688	8
79.4801862982103	18.5860719636548	9
77.3261865280949	11.7045444215182	3
86.9948679209639	17.5400638999417	6
83.9519057832406	16.0639342665672	8
85.3099478280431	17.1658271190245	5
76.0899548579646	10.821624242235	6
83.3215542083583	15.2775459410623	9
70.0029127844459	5.0592250819318	7
83.9868143120529	17.493741203798	5
65.4122907589824	5.11001220322214	7
80.9667852102984	8.11488459235989	2
85.8430518976345	18.5990211169701	7
81.1092082477848	14.1766796517186	6
79.3335684363044	10.6933886080515	3
79.2945815256316	11.536573774647	2
68.1292159663018	5.56146549293771	5
88.7634016023094	19.6030987065751	7
75.8582761084407	11.476268733386	6
91.8104508469076	19.3636489496566	7
88.7676602255283	18.3163235825486	3
77.5057537528413	14.5996815420222	9
93.2501600108775	19.5644991553854	4
81.4225191026592	14.2825731099583	3
74.7020773793844	10.001408169046	6
72.9937313654262	10.2012237231247	4
78.6123175536881	10.9772811713628	7
86.3067380257079	16.7703916353639	4
66.6046491130559	5.58404736686498	6
79.7667087685967	16.2319307925645	7
85.7894132654657	15.159152452834	3
75.6178251540754	7.56896495586261	1
75.5159560142351	8.91631945734844	3
82.8761131094375	12.7161940198857	6
79.1834691256907	15.1341091177892	9
87.4198439948998	19.7422579687554	5
86.1246145192286	16.3931640132796	5
82.409560374335	13.4973263612483	3
89.423841891308	17.7453457785305	5
79.9173236634372	7.84210903104395	3
71.7223862029873	9.06929922057316	5
89.4324413057067	17.4223772785626	4
87.3983052827704	15.3980723058339	2
79.3738790816754	8.60817109467462	3
67.4126412670424	5.6448319402989	6
75.693527197523	7.10718641174026	4
69.5914947248926	8.24578122585081	4
84.4295076092598	12.1909784630407	5
77.0102807942831	7.9611551342532	4
86.239612261558	15.7903375651222	3
61.4303844416312	5.11827108100988	7
78.9631238576913	10.6323494692333	5
79.330353781502	12.7161156246439	7
65.6074615137588	5.02355831325985	7
78.8589983204281	13.724060037639	8
67.6098180384052	7.36857812269591	7
79.0205878781952	10.3854245878756	4
86.035441118409	14.6844781760592	3
84.2256536082129	16.6373504395597	6
76.1438961832596	13.4547026234213	6
71.932866714098	8.50555097917095	8
69.4016743050029	6.34970774524845	7
70.9409443182236	6.28418097388931	3
71.9656871210985	9.57827554200776	4
86.2217527658368	15.0113977200817	3
64.5594444998703	5.00358344870619	7
76.7769043604256	8.12854935415089	3
87.2747406944266	18.9955119101796	3
88.9486021276351	18.8846712291706	2
91.2246542548021	16.0114145150874	2
77.2954717828237	9.99607975129038	5
85.3144133896362	12.7259499474894	2
89.7719785275514	16.1596196948085	6
81.8239048965975	14.2873886006419	6
